753,545,0.062364
753,549,0.056853
751,548,0.056954
753,547,0.060282
751,551,0.059358
746,548,0.059605
751,548,0.055362
749,546,0.059485
747,549,0.060671
750,548,0.060473
745,544,0.05548
745,544,0.059188
742,542,0.057312
745,544,0.063042
741,544,0.061313
741,546,0.060027
740,545,0.057708
741,543,0.057906
744,545,0.060791
743,545,0.060768
745,544,0.058226
745,543,0.057996
743,545,0.05997
742,543,0.061395
746,542,0.061831
747,545,0.060676
744,545,0.061656
743,543,0.056892
744,544,0.060628
744,546,0.063591
745,545,0.060648
742,546,0.061674
740,547,0.056229
743,545,0.05633
744,541,0.05573
743,544,0.060577
742,542,0.061531
740,545,0.062373
742,542,0.062783
738,544,0.061619
741,543,0.061401
739,546,0.059522
741,545,0.055125
741,543,0.060353
738,541,0.060672
739,538,0.057603
739,543,0.058298
740,543,0.056169
741,543,0.059732
743,542,0.061938
740,540,0.058949
744,542,0.056137
743,540,0.055669
741,542,0.057524
743,541,0.060086
739,542,0.060359
745,539,0.06016
742,541,0.061397
744,542,0.060286
747,543,0.059469
742,540,0.059615
743,540,0.062101
743,542,0.060924
747,543,0.059467
740,545,0.059757
750,548,0.057329
751,551,0.056241
753,552,0.058673
761,554,0.060388
766,555,0.065911
765,560,0.055286
763,557,0.055416
759,553,0.061607
758,554,0.058595
760,553,0.05453
764,557,0.056627
763,560,0.056915
756,565,0.062313
760,564,0.062397
759,565,0.059985
760,562,0.06038
760,564,0.057829
753,565,0.061944
746,563,0.060266
751,559,0.061437
754,558,0.06594
750,560,0.062031
752,561,0.061334
750,557,0.061022
752,560,0.061142
750,556,0.061323
747,558,0.062088
749,557,0.056531
747,556,0.063415
747,554,0.06112
746,553,0.061251
744,551,0.060833
744,552,0.062006
750,551,0.0612
743,551,0.061424
747,550,0.061969
744,551,0.060086
745,550,0.058769
749,550,0.061404
744,553,0.059458
750,553,0.062161
748,554,0.060482
749,556,0.060021
746,552,0.059746
745,556,0.057055
751,552,0.054496
748,557,0.060595
750,555,0.060121
749,554,0.060369
751,556,0.060103
751,557,0.060435
750,558,0.061129
749,560,0.060964
753,558,0.061284
751,557,0.059039
752,564,0.060539
753,565,0.06023
754,561,0.058433
754,562,0.059694
753,565,0.06335
752,563,0.057508
755,564,0.054439
757,560,0.054816
762,560,0.061037
756,560,0.05948
754,557,0.060175
754,559,0.057785
752,557,0.0617
754,554,0.060606
753,558,0.05997
755,556,0.059458
752,553,0.060334
746,555,0.057394
746,552,0.057889
751,551,0.056057
752,555,0.063327
749,556,0.061564
